id,name,full_name,legal_person,manager
002461.OF,中银珍利混合A,中银珍利灵活配置混合型证券投资基金,中银基金,苗婷
002462.OF,中银珍利混合C,中银珍利灵活配置混合型证券投资基金,中银基金,苗婷
002466.OF,博时裕新纯债,博时裕新纯债债券型证券投资基金,博时基金,郭思洁
002469.OF,华泰柏瑞交易货币B,华泰柏瑞交易型货币市场基金,华泰柏瑞基金,郑青
002472.OF,光大保德信先进服务业灵活配置混合A,光大保德信先进服务业灵活配置混合型证券投资基金,光大保德信基金管理,詹佳
002474.OF,中邮睿信增强债券,中邮睿信增强债券型证券投资基金,中邮基金,闫宜乘、江刘玮
002475.OF,中邮睿利增强债券,中邮睿利增强债券型证券投资基金,中邮基金,国晓雯
002476.OF,博时安瑞18个月定期开放债券A,博时安瑞18个月定期开放债券型证券投资基金,博时基金,李汉楠
002477.OF,博时安瑞18个月定期开放债券C,博时安瑞18个月定期开放债券型证券投资基金,博时基金,李汉楠
002482.OF,宝盈互联网沪港深混合,宝盈互联网沪港深灵活配置混合型证券投资基金,宝盈基金,张仲维
002483.OF,富国泰利定期开放债券发起式,富国泰利定期开放债券型发起式证券投资基金,富国基金,俞晓斌
002485.OF,国联安通盈混合C,国联安通盈灵活配置混合型证券投资基金,国联安基金,薛琳、王欢
002486.OF,上银慧添利债券,上银慧添利债券型证券投资基金,上银基金,许佳
002487.OF,汇添富稳添利定期开放债券A,汇添富稳健添利定期开放债券型证券投资基金,汇添富基金,叶盛
002488.OF,汇添富稳添利定期开放债券C,汇添富稳健添利定期开放债券型证券投资基金,汇添富基金,叶盛
002489.OF,国泰民福策略价值灵活配置混合,国泰民福策略价值灵活配置混合型证券投资基金,国泰基金,戴计辉
002490.OF,金鹰元祺信用债,金鹰元祺信用债债券型证券投资基金,金鹰基金,林龙军、林暐
002491.OF,银华添益定期开放债券,银华添益定期开放债券型证券投资基金,银华基金,瞿灿
002492.OF,工银月月薪定期支付债券C,工银瑞信月月薪定期支付债券型证券投资基金,工银瑞信基金,张洋
002494.OF,兴业聚盈灵活配置混合,兴业聚盈灵活配置混合型证券投资基金,兴业基金,腊博
002495.OF,前海开源量化优选A,前海开源量化优选灵活配置混合型证券投资基金,前海开源基金,陆琦
002496.OF,前海开源量化优选C,前海开源量化优选灵活配置混合型证券投资基金,前海开源基金,陆琦
002497.OF,东方盛世灵活配置混合A,东方盛世灵活配置混合型证券投资基金,东方基金,曲华锋
002498.OF,兴业聚鑫灵活配置混合A,兴业聚鑫灵活配置混合型证券投资基金,兴业基金,腊博
002501.OF,银华远景债券,银华远景债券型证券投资基金,银华基金,贾鹏、孙慧
002502.OF,中银腾利混合A,中银腾利灵活配置混合型证券投资基金,中银基金,苗婷
002503.OF,中银腾利混合C,中银腾利灵活配置混合型证券投资基金,中银基金,苗婷
002504.OF,鹏华金鼎灵活配置混合A,鹏华金鼎灵活配置混合型证券投资基金,鹏华基金,戴钢
002505.OF,鹏华金鼎灵活配置混合C,鹏华金鼎灵活配置混合型证券投资基金,鹏华基金,戴钢
002507.OF,兴业定开债券C,兴业定期开放债券型证券投资基金,兴业基金,周鸣、腊博
002510.OF,申万菱信中证500指数增强A,申万菱信中证500指数增强型证券投资基金,申万菱信基金,俞诚
002512.OF,长城久润混合,长城久润灵活配置混合型证券投资基金,长城基金,余欢
002513.OF,金鹰元安混合C,金鹰元安混合型证券投资基金,金鹰基金,林龙军、杨晓斌
002514.OF,招商丰益混合A,招商丰益灵活配置混合型证券投资基金,招商基金,张磊
002515.OF,招商丰益混合C,招商丰益灵活配置混合型证券投资基金,招商基金,张磊
002518.OF,民生加银鑫福混合A,民生加银鑫福灵活配置混合型证券投资基金,民生加银基金,姚航
002519.OF,博时裕景纯债,博时裕景纯债债券型证券投资基金,博时基金,陈黎
002520.OF,招商招瑞纯债发起式C,招商招瑞纯债债券型发起式证券投资基金,招商基金,刘万锋
002521.OF,永赢双利债券A,永赢双利债券型证券投资基金,永赢基金,李永兴、乔嘉麒
002522.OF,永赢双利债券C,永赢双利债券型证券投资基金,永赢基金,李永兴、乔嘉麒
002523.OF,光大保德信恒利纯债,光大保德信恒利纯债债券型证券投资基金,光大保德信基金管理,李怀定
002524.OF,兴业福益债券,兴业福益债券型证券投资基金,兴业基金,唐丁祥
002528.OF,泰康安益纯债债券A,泰康安益纯债债券型证券投资基金,泰康资产,任翀
002529.OF,泰康安益纯债债券C,泰康安益纯债债券型证券投资基金,泰康资产,任翀
002533.OF,中加心享混合C,中加心享灵活配置混合型证券投资基金,中加基金,闫沛贤、王梁、钟伟
002534.OF,华安稳固收益债券A,华安稳固收益债券型证券投资基金,华安基金,郑可成、石雨欣
002535.OF,中银鑫利混合A,中银鑫利灵活配置混合型证券投资基金,中银基金,涂海强
002536.OF,中银鑫利混合C,中银鑫利灵活配置混合型证券投资基金,中银基金,涂海强
002537.OF,平安安盈灵活配置混合,平安安盈灵活配置混合型证券投资基金,平安基金,薛冀颖
002542.OF,长城久鼎混合,长城久鼎灵活配置混合型证券投资基金,长城基金,廖瀚博
002543.OF,长城久益混合A,长城久益灵活配置混合型证券投资基金,长城基金,马强
002544.OF,长城久益混合C,长城久益灵活配置混合型证券投资基金,长城基金,马强
002545.OF,东方岳灵活配置混合,东方岳灵活配置混合型证券投资基金,东方基金,盛泽
002546.OF,泰康薪意保货币E,泰康薪意保货币市场基金,泰康资产,蒋利娟、任慧娟
002547.OF,民生加银养老服务混合,民生加银养老服务灵活配置混合型证券投资基金,民生加银基金,高松
002548.OF,嘉实稳瑞纯债债券,嘉实稳瑞纯债债券型证券投资基金,嘉实基金,王立芹
002549.OF,嘉实稳祥纯债债券A,嘉实稳祥纯债债券型证券投资基金,嘉实基金,王亚洲
002550.OF,嘉实稳荣债券,嘉实稳荣债券型证券投资基金,嘉实基金,崔思维
002552.OF,华夏恒利定开债券,华夏恒利3个月定期开放债券型证券投资基金,华夏基金,刘薇
002553.OF,博时创业成长混合C,博时创业成长混合型证券投资基金,博时基金,林博鸿
002555.OF,博时沪港深优质企业基金C,博时沪港深优质企业灵活配置混合型证券投资基金,博时基金,牟星海、曾鹏
002556.OF,博时丝路主题股票C,博时丝路主题股票型证券投资基金,博时基金,沙炜
002558.OF,博时鑫瑞混合A,博时鑫瑞灵活配置混合型证券投资基金,博时基金,王曦、于冰
002559.OF,博时鑫瑞混合C,博时鑫瑞灵活配置混合型证券投资基金,博时基金,王曦、于冰
002560.OF,诺安和鑫灵活配置混合,诺安和鑫灵活配置混合型证券投资基金,诺安基金,蔡嵩松
002561.OF,东吴安鑫量化混合,东吴安鑫量化灵活配置混合型证券投资基金,东吴基金,周健
002562.OF,泓德泓益量化混合,泓德泓益量化混合型证券投资基金,泓德基金,苏昌景
002563.OF,泓德泓汇混合,泓德泓汇灵活配置混合型证券投资基金,泓德基金,于浩成
002564.OF,新沃通盈灵活配置混合,新沃通盈灵活配置混合型证券投资基金,新沃基金,陈乐华
002567.OF,大成国家安全主题混合,大成国家安全主题灵活配置混合型证券投资基金,大成基金,李林益
002568.OF,博时裕发纯债,博时裕发纯债债券型证券投资基金,博时基金,郭思洁
002569.OF,博时裕弘纯债债券,博时裕弘纯债债券型证券投资基金,博时基金,李秋实
002573.OF,建信汇利灵活配置混合,建信汇利灵活配置混合型证券投资基金,建信基金,邱宇航
002574.OF,招商瑞庆混合A,招商瑞庆灵活配置混合型证券投资基金,招商基金,王垠、余芽芳(休产假)
002577.OF,南方新兴混合,南方新兴龙头灵活配置混合型证券投资基金,南方基金,罗安安
002578.OF,博时裕泉纯债债券,博时裕泉纯债债券型证券投资基金,博时基金,郭思洁
002580.OF,泰信鑫选灵活配置混合C,泰信鑫选灵活配置混合型证券投资基金,泰信基金,董山青、董季周
002581.OF,招商丰凯混合A,招商丰凯灵活配置混合型证券投资基金,招商基金,张磊
002582.OF,招商丰凯混合C,招商丰凯灵活配置混合型证券投资基金,招商基金,张磊
002583.OF,泰信行业精选混合C,泰信行业精选灵活配置混合型证券投资基金,泰信基金,董山青
